,name,cid_c,cid_w,cid_u,cid_g,cid_b,cid_r,mc_c,mc_w,mc_u,mc_b,mc_r,mc_g,power,toughness,flying,trample,doublestrike,first_strike,vigilance,haste,menace,fear,shadow,defender,deathtouch,indestructible,hexproof,shroud
0,Abattoir Ghoul,0,0,0,1,0,0,3,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Abbey Gargoyles,0,1,0,0,0,0,2,3,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Abbey Griffin,0,1,0,0,0,0,3,1,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Abbey Matron,0,1,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Abbot of Keral Keep,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Aberrant Researcher,0,0,1,0,0,0,3,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Abhorrent Overlord,0,0,0,1,0,0,5,0,0,2,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Abolisher of Bloodlines,0,0,0,1,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Abomination,0,0,0,1,0,0,3,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Abomination of Gudul,0,0,1,1,0,1,3,0,1,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Aboroth,0,0,0,0,0,1,4,0,0,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Aboshan, Cephalid Emperor",0,0,1,0,0,0,4,0,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Absolver Thrull,0,1,0,0,0,0,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Abu Ja'far,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Abuna Acolyte,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Abundant Maw,0,0,0,1,0,0,8,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Abyssal Gatekeeper,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Abyssal Horror,0,0,0,1,0,0,4,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Abyssal Hunter,0,0,0,1,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Abyssal Nightstalker,0,0,0,1,0,0,3,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Abyssal Nocturnus,0,0,0,1,0,0,1,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,Abyssal Persecutor,0,0,0,1,0,0,2,0,0,2,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Abyssal Specter,0,0,0,1,0,0,2,0,0,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Abzan Battle Priest,0,1,0,0,0,0,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Abzan Beastmaster,0,0,0,0,0,1,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Abzan Falconer,0,1,0,0,0,0,2,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Abzan Guide,0,1,0,1,0,1,3,1,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Abzan Kin-Guard,0,0,0,0,0,1,3,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Abzan Skycaptain,0,1,0,0,0,0,3,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Academy Drake,0,0,1,0,0,0,2,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Academy Elite,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Academy Journeymage,0,0,1,0,0,0,4,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Academy Raider,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Academy Rector,0,1,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Academy Researchers,0,0,1,0,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Accomplished Automaton,1,0,0,0,0,0,7,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Accorder Paladin,0,1,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Accursed Centaur,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Accursed Horde,0,0,0,1,0,0,3,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,Accursed Spirit,0,0,0,1,0,0,3,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Accursed Witch,0,0,0,1,0,0,3,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Acid Web Spider,0,0,0,0,0,1,3,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Acid-Spewer Dragon,0,0,0,1,0,0,5,0,0,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,Acidic Slime,0,0,0,0,0,1,3,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,Acidic Sliver,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Acolyte of Xathrid,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Acolyte of the Inferno,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Acridian,0,0,0,0,0,1,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
